"case_name","t_day","Tin_C","Tsoil_C","CFD_T25_C","Corr_T25_C","T25_corr_minus_CFD_C","CFD_Tout_C","Corr_Tout_C","Tout_corr_minus_CFD_C","T25_exp_C","Tout_exp_C"
"Sharan_May_cooling","0","31.3","26.6","26.6141902598649","30.643209625827","4.02901936596207","26.6014290735175","30.0782008677404","3.4767717942229","29.1","26.8"
"Sharan_May_cooling","0.0416666666666667","33.7","26.6","31.3829262790917","32.7078273071003","1.32490102800862","31.886374249608","31.8543034385015","-0.0320708111065464","29.2","26.8"
"Sharan_May_cooling","0.0833333333333333","36.4","26.6","33.1242925554389","35.0305221985328","1.90622964309393","33.7935371206022","33.8524188306076","0.05888171000543","29.5","27.2"
"Sharan_May_cooling","0.125","37.8","26.6","34.3355276205665","36.2348825126089","1.89935489204245","35.1140227609083","34.8884786635516","-0.225544097356718","29.5","27.2"
"Sharan_May_cooling","0.166666666666667","40.8","26.6","35.8905430086328","38.8156546142006","2.92511160556784","36.8152438970641","37.1086068770029","0.293362979938799","29.7","27.2"
"Sharan_May_cooling","0.208333333333333","40.4","26.6","35.9826417230694","38.4715516673217","2.48890994425234","36.8969150059258","36.8125897818761","-0.0843252240497421","29.7","27.2"
"Sharan_May_cooling","0.25","39.8","26.6","35.6664120810002","37.9553972470034","2.2889851660032","36.5319671331732","36.3685641391858","-0.163402993987404","29.8","27.2"
"Sharan_May_cooling","0.291666666666667","39.6","26.5","35.510865191687","37.7693715102837","2.25850631859668","36.3496394802332","36.1945598654041","-0.155079614829113","30","27.2"
"Sharan_January_heating","0","19.8","24.2","24.0387666794725","20.4148675843322","-3.6238990951403","24.1950620895985","20.9438119536047","-3.25125013599377","22.3","23.4"
"Sharan_January_heating","0.0416666666666667","17.6","24.2","19.6268561659672","18.5223013764983","-1.1045547894689","19.1432142540899","19.3157179304071","0.172503676317202","22.2","23.4"
"Sharan_January_heating","0.0833333333333333","13.3","24.2","17.2159587676347","14.8231946975502","-2.39276407008448","16.4952064959878","16.1335341577935","-0.361672338194253","22.1","23.3"
"Sharan_January_heating","0.125","11.9","24.2","15.9010755123161","13.6188343834741","-2.282241128842","15.0627407796964","15.0974743248496","0.0347335451531983","21.9","23.3"
"Sharan_January_heating","0.166666666666667","10.4","24.2","14.9532889343973","12.3284483326783","-2.62484060171904","14.0346572855591","13.9874102181239","-0.0472470674351602","21.8","23.3"
"Sharan_January_heating","0.208333333333333","9.6","24.2","14.2916436266376","11.6402424389205","-2.65140118771712","13.3208611616024","13.3953760278703","0.0745148662678545","21.7","23.3"
"Sharan_January_heating","0.25","9.1","24.2","13.9312406739808","11.2101137553219","-2.72112691865894","12.938049801583","13.0253546589617","0.087304857378701","21.6","23.2"
"Sharan_January_heating","0.291666666666667","8.7","24.2","13.6262550072651","10.866010808443","-2.76024419882213","12.6147892165278","12.7293375638349","0.114548347307059","21.5","23.2"
"Sharan_January_heating","0.333333333333333","8.3","24.2","13.4888806402156","10.5219078615641","-2.96697277865152","12.4753428460226","12.433320468708","-0.0420223773145825","21.5","23"
"Sharan_January_heating","0.375","8.7","24.2","13.5678160846863","10.866010808443","-2.70180527624333","12.5733544499593","12.7293375638349","0.155983113875559","21.4","23"
"Sharan_January_heating","0.416666666666667","9.1","24.2","13.8245905945879","11.2101137553219","-2.61447683926604","12.8663364000145","13.0253546589617","0.159018258947201","21.3","22.9"
"Sharan_January_heating","0.458333333333333","9.6","24.2","14.1548138961609","11.6402424389205","-2.51457145724042","13.2386063719907","13.3953760278703","0.156769655879554","21.2","22.9"
"Sharan_January_heating","0.5","9.8","24.2","14.2626928556159","11.8122939123599","-2.45039894325598","13.3627018173052","13.5433845754337","0.180682758128475","21.2","22.8"
